iter	Passed	Remaining
222	14933	52034
223	15002	51973
224	15070	51910
225	15138	51846
226	15200	51763
227	15267	51696
228	15335	51632
229	15405	51573
230	15472	51509
231	15541	51446
232	15608	51379
233	15672	51304
234	15734	51220
235	15807	51172
236	15872	51101
237	15938	51029
238	16002	50953
239	16072	50895
240	16134	50813
241	16203	50753
242	16270	50685
243	16333	50607
244	16398	50533
245	16464	50463
246	16528	50388
247	16591	50309
248	16655	50233
249	16776	50328
250	16846	50271
251	16932	50260
252	17011	50226
253	17100	50222
254	17166	50152
255	17244	50117
256	17312	50052
257	17382	49992
258	17450	49924
259	17511	49841
260	17572	49755
261	17630	49661
262	17694	49586
263	17760	49514
264	17827	49447
265	17907	49413
266	17985	49376
267	18055	49315
268	18125	49256
269	18197	49200
270	18267	49141
271	18331	49062
272	18397	48991
273	18473	48948
274	18543	48888
275	18616	48835
276	18684	48768
277	18752	48702
278	18819	48634
279	18906	48615
280	18974	48550
281	19035	48465
282	19099	48390
283	19160	48306
284	19242	48275
285	19308	48204
286	19372	48128
287	19430	48036
288	19499	47971
289	19559	47886
290	19620	47803
291	19678	47712
292	19742	47637
293	19807	47566
294	19879	47509
295	19951	47451
296	20023	47395
297	20089	47324
298	20152	47248
299	20219	47177
300	20285	47108
301	20352	47040
302	20420	46973
303	20486	46903
304	20552	46832
305	20619	46765
306	20682	46687
307	20748	46617
308	20821	46562
309	20887	46492
310	20953	46420
311	21051	46421
312	21118	46352
313	21186	46287
314	21252	46216
315	21321	46150
316	21387	46081
317	21455	46015
318	21523	45948
319	21592	45885
320	21660	45817
321	21727	45748
322	21792	45676
323	21860	45610
324	21924	45535
325	21991	45467
326	22059	45400
327	22124	45328
328	22193	45263
329	22258	45191
330	22328	45128
331	22399	45068
332	22464	44996
333	22520	44906
334	22588	44839
335	22650	44761
336	22719	44696
337	22799	44655
338	22867	44588
339	22931	44515
340	22998	44445
341	23064	44375
342	23134	44312
343	23229	44298
344	23290	44217
345	23357	44150
346	23419	44071
347	23481	43993
348	23546	43921
349	23609	43847
350	23672	43770
351	23737	43699
352	23803	43628
353	23863	43548
354	23931	43481
355	24007	43429
356	24073	43359
357	24140	43291
358	24209	43226
359	24276	43157
360	24341	43085
361	24410	43020
362	24479	42956
363	24539	42876
364	24606	42808
365	24676	42745
366	24755	42698
367	24835	42651
368	24904	42587
369	24979	42533
370	25050	42470
371	25122	42411
372	25192	42347
373	25264	42287
374	25361	42269
375	25438	42217
376	25505	42147
377	25568	42073
378	25653	42034
379	25726	41974
380	25798	41914
381	25872	41857
382	25942	41792
383	26008	41721
384	26075	41652
385	26139	41579
386	26203	41506
387	26267	41432
388	26329	41355
389	26397	41287
390	26463	41217
391	26528	41146
392	26591	41071
393	26658	41003
394	26727	40937
395	26790	40862
396	26854	40788
397	26915	40712
398	26979	40638
399	27045	40568
