(132027, 10) (33007, 10) (132027,) (33007,)
175:	learn: 0.3139725	total: 12s	remaining: 56.3s
176:	learn: 0.3139256	total: 12.1s	remaining: 56.3s
177:	learn: 0.3138910	total: 12.2s	remaining: 56.2s
178:	learn: 0.3138615	total: 12.3s	remaining: 56.2s
179:	learn: 0.3138084	total: 12.3s	remaining: 56.2s
180:	learn: 0.3137702	total: 12.4s	remaining: 56.2s
181:	learn: 0.3137209	total: 12.5s	remaining: 56.1s
182:	learn: 0.3136759	total: 12.6s	remaining: 56.1s
183:	learn: 0.3136364	total: 12.7s	remaining: 56.1s
184:	learn: 0.3135985	total: 12.7s	remaining: 56.1s
185:	learn: 0.3135604	total: 12.8s	remaining: 56s
186:	learn: 0.3135041	total: 12.9s	remaining: 56s
187:	learn: 0.3134686	total: 13s	remaining: 56s
188:	learn: 0.3134309	total: 13.1s	remaining: 56s
189:	learn: 0.3134026	total: 13.1s	remaining: 56s
190:	learn: 0.3133774	total: 13.2s	remaining: 55.9s
191:	learn: 0.3133367	total: 13.3s	remaining: 56s
192:	learn: 0.3132956	total: 13.4s	remaining: 56s
193:	learn: 0.3132595	total: 13.5s	remaining: 55.9s
194:	learn: 0.3132113	total: 13.5s	remaining: 55.8s
195:	learn: 0.3131777	total: 13.6s	remaining: 55.7s
196:	learn: 0.3131536	total: 13.7s	remaining: 55.7s
197:	learn: 0.3131184	total: 13.7s	remaining: 55.6s
198:	learn: 0.3130897	total: 13.8s	remaining: 55.6s
199:	learn: 0.3130422	total: 13.9s	remaining: 55.5s
200:	learn: 0.3130101	total: 13.9s	remaining: 55.4s
201:	learn: 0.3129622	total: 14s	remaining: 55.3s
202:	learn: 0.3129160	total: 14.1s	remaining: 55.3s
203:	learn: 0.3128864	total: 14.1s	remaining: 55.2s
204:	learn: 0.3128518	total: 14.2s	remaining: 55.1s
205:	learn: 0.3128311	total: 14.3s	remaining: 55.1s
206:	learn: 0.3127799	total: 14.4s	remaining: 55s
207:	learn: 0.3127435	total: 14.4s	remaining: 54.9s
208:	learn: 0.3126950	total: 14.5s	remaining: 54.8s
209:	learn: 0.3126673	total: 14.6s	remaining: 54.8s
210:	learn: 0.3126371	total: 14.6s	remaining: 54.7s
211:	learn: 0.3126009	total: 14.7s	remaining: 54.6s
212:	learn: 0.3125777	total: 14.8s	remaining: 54.5s
213:	learn: 0.3125473	total: 14.8s	remaining: 54.4s
214:	learn: 0.3125005	total: 14.9s	remaining: 54.4s
215:	learn: 0.3124529	total: 15s	remaining: 54.3s
216:	learn: 0.3124156	total: 15s	remaining: 54.2s
217:	learn: 0.3123481	total: 15.1s	remaining: 54.1s
218:	learn: 0.3123176	total: 15.2s	remaining: 54.1s
219:	learn: 0.3122892	total: 15.2s	remaining: 54s
220:	learn: 0.3122424	total: 15.3s	remaining: 53.9s
221:	learn: 0.3122124	total: 15.4s	remaining: 53.9s
222:	learn: 0.3121637	total: 15.5s	remaining: 54s
223:	learn: 0.3121367	total: 15.6s	remaining: 54s
224:	learn: 0.3121065	total: 15.7s	remaining: 54s
225:	learn: 0.3120766	total: 15.7s	remaining: 53.9s
226:	learn: 0.3120627	total: 15.8s	remaining: 53.8s
227:	learn: 0.3120112	total: 15.9s	remaining: 53.7s
228:	learn: 0.3119607	total: 15.9s	remaining: 53.6s
229:	learn: 0.3119319	total: 16s	remaining: 53.5s
230:	learn: 0.3118939	total: 16.1s	remaining: 53.5s
231:	learn: 0.3118702	total: 16.1s	remaining: 53.4s
232:	learn: 0.3118238	total: 16.2s	remaining: 53.4s
233:	learn: 0.3117884	total: 16.3s	remaining: 53.3s
234:	learn: 0.3117482	total: 16.4s	remaining: 53.3s
235:	learn: 0.3117121	total: 16.4s	remaining: 53.2s
236:	learn: 0.3116988	total: 16.5s	remaining: 53.2s
237:	learn: 0.3116550	total: 16.6s	remaining: 53.1s
238:	learn: 0.3116104	total: 16.6s	remaining: 53s
239:	learn: 0.3115653	total: 16.7s	remaining: 52.9s
240:	learn: 0.3115360	total: 16.8s	remaining: 52.8s
241:	learn: 0.3115055	total: 16.9s	remaining: 52.8s
242:	learn: 0.3114837	total: 16.9s	remaining: 52.8s
243:	learn: 0.3114612	total: 17s	remaining: 52.7s
244:	learn: 0.3114346	total: 17.1s	remaining: 52.7s
245:	learn: 0.3114013	total: 17.2s	remaining: 52.6s
246:	learn: 0.3113721	total: 17.2s	remaining: 52.5s
247:	learn: 0.3113413	total: 17.3s	remaining: 52.5s
248:	learn: 0.3113045	total: 17.4s	remaining: 52.4s
249:	learn: 0.3112729	total: 17.4s	remaining: 52.3s
250:	learn: 0.3112389	total: 17.5s	remaining: 52.3s
251:	learn: 0.3111992	total: 17.6s	remaining: 52.2s
252:	learn: 0.3111615	total: 17.7s	remaining: 52.2s
253:	learn: 0.3111204	total: 17.8s	remaining: 52.2s
254:	learn: 0.3110782	total: 17.8s	remaining: 52.1s
255:	learn: 0.3110308	total: 17.9s	remaining: 52.1s
256:	learn: 0.3110008	total: 18s	remaining: 52s
257:	learn: 0.3109650	total: 18.1s	remaining: 51.9s
